Date,Description,Amount,Currency,Converted_INR,Category
2025-11-25,CHARITY PAYMENT,110,EUR,9812.0,General
2025-06-30,APOLLO PHARMACY PAYMENT,143,USD,11940.5,Health
2024-05-11,CLOTHES PAYMENT,92,USD,7682.0,Shopping
2024-06-19,WATER BILL PAYMENT,33,GBP,3468.3,Utilities
2024-03-11,APOLLO PHARMACY PAYMENT,4632,INR,4632,Health
2025-11-24,CAB PAYMENT,4860,INR,4860,Transport
2025-11-30,HAIRCUT PAYMENT,45,GBP,4729.5,General
2024-03-16,WIFI PAYMENT,30,EUR,2676.0,Utilities
2025-09-25,TRANSFER PAYMENT,1954,INR,1954,General
2024-03-04,NIKE PAYMENT,14,USD,1169.0,Shopping
2025-07-06,CHARITY PAYMENT,98,EUR,8741.6,General
2024-06-16,CHARITY PAYMENT,28,EUR,2497.6,General
2024-06-18,SEND MONEY PAYMENT,670,INR,670,General
2025-07-20,BAKERY PAYMENT,4277,JPY,2352.35,Food
2024-03-31,NETFLIX PAYMENT,83,EUR,7403.6,Entertainment
2024-02-28,FLIPKART PAYMENT,52,EUR,4638.4,Shopping
2024-08-21,ESPRESSO PAYMENT,68,EUR,6065.6,Food
2025-05-27,POS / STEAM,3292,INR,3292,Entertainment
2024-09-18,EVENT PAYMENT,147,USD,12274.5,Entertainment
2024-01-28,EMIRATES PAYMENT,14,EUR,1248.8,Transport
2024-07-23,SHOES PAYMENT,40,EUR,3568.0,Shopping
2025-04-01,POST OFFICE PAYMENT,12,GBP,1261.2,General
2025-05-04,BUS TICKET PAYMENT,15,USD,1252.5,Transport
2025-08-01,WWW.INSURANCE PREMIUM.COM,4152,INR,4152,Health
2024-01-15,REEBOK PAYMENT,78,USD,6513.0,Shopping
2024-09-18,WWW.GIFT.COM,116,GBP,12191.6,General
2025-07-04,UPI-NETMEDS-3534,3645,INR,3645,Health
2024-06-03,ONEPLUS PAYMENT,77,EUR,6868.4,Shopping
2024-09-05,FLIPKART PAYMENT,15,USD,1252.5,Shopping
2025-07-11,IPL MATCH PAYMENT,4324,INR,4324,Entertainment
2025-05-14,APOLLO PHARMACY PAYMENT,6610,JPY,3635.5,Health
2024-08-03,TATA SKY PAYMENT,25,GBP,2627.5,Utilities
2024-09-10,HAIRCUT PAYMENT,72,GBP,7567.2,General
2025-04-29,UPI-YOUTUBE PREMIUM-6526,32,EUR,2854.4,Entertainment
2025-10-18,WWW.RAPIDO.COM,8,USD,668.0,Transport
2025-10-28,CULT FIT PAYMENT,38,GBP,3993.8,Health
2024-09-16,ESPRESSO PAYMENT,6582,JPY,3620.1,Food
2025-06-11,FLIGHT PAYMENT,40,USD,3340.0,Transport
2025-10-26,PUMA PAYMENT,115,EUR,10258.0,Shopping
2025-08-20,ADIDAS PAYMENT,42,USD,3507.0,Shopping
2025-07-28,TRANSFER PAYMENT,95,GBP,9984.5,General
2024-09-14,UPI-TRAIN TICKET-2121,66,EUR,5887.2,Transport
2024-07-09,STATIONERY PAYMENT,4819,JPY,2650.45,General
2024-04-23,HOUSE RENT PAYMENT,47,EUR,4192.4,Utilities
2024-08-19,UPI PAYMENT,7600,JPY,4180.0,General
2025-03-16,UPI-SAMSUNG-3867,5752,JPY,3163.6,Shopping
2024-12-16,PRIME VIDEO PAYMENT,66,GBP,6936.6,Entertainment
2025-04-10,UPI-CASH-5959,2626,INR,2626,General
2024-09-15,PREPAID RECHARGE STORE,145,GBP,15239.5,Utilities
2025-10-19,CULT FIT PAYMENT,2623,INR,2623,Health
2024-03-22,INTERNET PAYMENT,79,GBP,8302.9,Utilities
2025-08-16,GAS CYLINDER PAYMENT,119,USD,9936.5,Utilities
2025-12-05,UNIQLO PAYMENT,4587,INR,4587,Shopping
2024-08-21,1MG PAYMENT,1588,INR,1588,Health
2025-07-26,STEAM PAYMENT,3676,INR,3676,Entertainment
2024-06-11,IKEA PAYMENT,699,JPY,384.45,Shopping
2024-09-13,BP PUMP PAYMENT,15,GBP,1576.5,Transport
2024-06-08,XEROX PAYMENT,4151,INR,4151,General
2025-08-07,XBOX PAYMENT,95,GBP,9984.5,Entertainment
2024-11-26,INSURANCE PREMIUM PAYMENT,4701,INR,4701,Health
2025-09-01,NETMEDS PAYMENT,78,GBP,8197.8,Health
2024-02-27,UNIQLO PAYMENT,8160,JPY,4488.0,Shopping
2025-10-29,LUNCH PAYMENT,72,GBP,7567.2,Food
2024-07-12,APPLE STORE PAYMENT,58,USD,4843.0,Shopping
2024-06-10,CONCERT PAYMENT,146,USD,12191.0,Entertainment
2024-12-22,UPI-CHAI-3485,106,GBP,11140.6,Food
2024-02-22,DUNKIN PAYMENT,71,GBP,7462.1,Food
2025-02-13,NETMEDS PAYMENT,8756,JPY,4815.8,Health
2025-09-13,AJIO PAYMENT,101,EUR,9009.2,Shopping
2024-07-17,1MG PAYMENT,42,USD,3507.0,Health
2024-11-07,MYNTRA PAYMENT,104,USD,8684.0,Shopping
2024-04-14,LATTE PAYMENT,67,EUR,5976.4,Food
2025-05-18,RENT PAYMENT,1461,INR,1461,Utilities
2025-11-24,TABLETS PAYMENT,8846,JPY,4865.3,Health
2024-09-17,PHARMACY PAYMENT,7901,JPY,4345.55,Health
2024-12-18,MCDONALDS PAYMENT,6,GBP,630.6,Food
2024-05-19,DOMINOS PAYMENT,73,GBP,7672.3,Food
2024-02-24,DISNEY+ STORE,3333,JPY,1833.15,Entertainment
2025-11-07,WATER BILL PAYMENT,37,GBP,3888.7,Utilities
2024-06-08,CAB STORE,73,GBP,7672.3,Transport
2025-11-25,PRINT PAYMENT,44,USD,3674.0,General
2025-11-18,SPOTIFY PAYMENT,102,USD,8517.0,Entertainment
2024-12-21,DINER PAYMENT,129,EUR,11506.8,Food
2024-05-06,POS / CULT FIT,67,USD,5594.5,Health
2024-08-02,SEND MONEY PAYMENT,95,EUR,8474.0,General
2024-07-20,TABLETS PAYMENT,65,USD,5427.5,Health
2025-11-29,JIO FIBER PAYMENT,105,EUR,9366.0,Utilities
2024-03-03,INOX PAYMENT,5224,JPY,2873.2,Entertainment
2024-07-04,DECATHLON PAYMENT,6344,JPY,3489.2,Shopping
2024-04-07,CULT FIT PAYMENT,150,USD,12525.0,Health
2024-03-29,UPI-SAMSUNG-2770,25,GBP,2627.5,Shopping
2025-03-11,CHAI PAYMENT,2065,INR,2065,Food
2024-10-25,POWER BILL PAYMENT,147,EUR,13112.4,Utilities
2024-04-14,THEATRE PAYMENT,20,GBP,2102.0,Entertainment
2025-03-08,TRAIN TICKET PAYMENT,18,GBP,1891.8,Transport
2025-09-09,BURGER KING PAYMENT,128,EUR,11417.6,Food
2025-04-11,SHOES PAYMENT,2523,JPY,1387.65,Shopping
2024-01-25,WWW.LATTE.COM,4271,INR,4271,Food
2025-10-19,STATIONERY PAYMENT,123,GBP,12927.3,General
2025-05-25,H&M PAYMENT,131,GBP,13768.1,Shopping
2025-05-20,CLOTHES PAYMENT,1647,INR,1647,Shopping
2025-05-30,HOTSTAR PAYMENT,139,EUR,12398.8,Entertainment
2024-12-22,SPOTIFY PAYMENT,3709,INR,3709,Entertainment
2024-03-02,POSTPAID BILL PAYMENT,105,USD,8767.5,Utilities
